source_table,source_sheet,source_column,series_name,region,subregion,product,metric,unit,period_type
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPC0_SKA_NUS_MBBL,weekly U.S. Stocks Alaskan in Transit (on Ships) of Crude Oil,U.S.,,Stocks Alaskan in Transit (on Ships) of Crude Oil,Stocks Alaskan in Transit (on Ships) of Crude Oil,Thousand Barrels,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPC0_TVP_NUS_MBBLD,weekly U.S. Transfers to Crude Oil Supply of Crude Oil,U.S.,,Transfers to Crude Oil Supply of Crude Oil,Transfers to Crude Oil Supply of Crude Oil,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPD00H_YPB_NUS_MBBLD,weekly U.S. Blender Net Production of Distillate Fuel Oil Greater than 500 ppm Sulfur,U.S.,,Blender Net Production of Distillate Fuel Oil Greater than 500 ppm Sulfur,Blender Net Production of Distillate Fuel Oil Greater than 500 ppm Sulfur,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPD00H_YPY_NUS_MBBLD,weekly U.S. Refinery Net Production of Distillate Fuel Oil Greater than 500 ppm Sulfur,U.S.,,Refinery Net Production of Distillate Fuel Oil Greater than 500 ppm Sulfur,Refinery Net Production of Distillate Fuel Oil Greater than 500 ppm Sulfur,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPD0_YPB_NUS_MBBLD,weekly U.S. Blender Net Production of Distillate Fuel Oil,U.S.,,Blender Net Production of Distillate Fuel Oil,Blender Net Production of Distillate Fuel Oil,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPD0_YPY_NUS_MBBLD,weekly U.S. Refinery Net Production of Distillate Fuel Oil,U.S.,,Refinery Net Production of Distillate Fuel Oil,Refinery Net Production of Distillate Fuel Oil,Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPDM10_YPB_NUS_MBBLD,"weekly U.S. Blender Net Production of Distillate Fuel Oil, 15-500 ppm Sulfur",U.S.,,"Blender Net Production of Distillate Fuel Oil, 15-500 ppm Sulfur","Blender Net Production of Distillate Fuel Oil, 15-500 ppm Sulfur",Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPDM10_YPY_NUS_MBBLD,"weekly U.S. Refinery Net Production of Distillate Fuel Oil, 15-500 ppm Sulfur",U.S.,,"Refinery Net Production of Distillate Fuel Oil, 15-500 ppm Sulfur","Refinery Net Production of Distillate Fuel Oil, 15-500 ppm Sulfur",Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPDXL0_YPB_NUS_MBBLD,"weekly U.S. Blender Net Production of Distillate Fuel Oil, 0-15 ppm Sulfur",U.S.,,"Blender Net Production of Distillate Fuel Oil, 0-15 ppm Sulfur","Blender Net Production of Distillate Fuel Oil, 0-15 ppm Sulfur",Thousand Barrels per Day,weekly
WPSR_CSV,https://irtest.eia.gov/wpsr/wpsr.csv,W_EPDXL0_YPY_NUS_MBBLD,"weekly U.S. Refinery Net Production of Distillate Fuel Oil, 0 to 15 ppm Sulfur",U.S.,,"Refinery Net Production of Distillate Fuel Oil, 0 to 15 ppm Sulfur","Refinery Net Production of Distillate Fuel Oil, 0 to 15 ppm Sulfur",Thousand Barrels per Day,weekly
