Date;Latin America;North West Europe Zone;MED Zone (MED Sea+Black Sea);Other North Africa;Unknown;Western Africa;East Coast Canada;Southern Africa;Oceania;South-Central Asia;South-East Asia;Eastern Asia;Eastern Africa;Other Southern Europe;Other Middle East;West Coast Canada;Mideast Gulf;Period End Date
2020-11-13;814.30;0;0;0;5.03;0;0;0;0;3.86;0;0;0;0;0;0;0;2020-11-13
2020-11-20;565.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020-11-20
2020-11-27;533.77;11.91;0;0;46.80;0;0;0;0;0;0;0;0;0;0;0;0;2020-11-27
2020-12-04;617.20;44.53;0;0;0;44.79;0;0;0;0;0;0;0;0;0;0;0;2020-12-04
2020-12-11;628.64;0;0;0;18.56;0;0;0;0;0;0;0;0;0;0;0;0;2020-12-11
2020-12-18;748.44;0;45.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020-12-18
2020-12-25;838.82;0;0;0;12.99;0;0;0;0;0;0;0;0;0;0;0;0;2020-12-25
2021-01-01;624.71;54.57;0;42.44;12.37;0;41.28;0;0;0;13.70;0;0;0;0;0;0;2021-01-01
2021-01-08;742.98;0;0;0;17.91;0;0;0;0;0;0;0;0;0;0;0;0;2021-01-08
2021-01-15;877.30;0;0;0;1.15;0;23.27;0;0;0;0;0;0;0;0;0;0;2021-01-15
2021-01-22;422.52;0;45.78;0;44.06;0;0;0;0;0;0;0;0;0;0;0;0;2021-01-22
2021-01-29;533.70;0;0;0;75.55;0;0;0;0;0;0;0;0;0;0;0;0;2021-01-29
2021-02-05;644.53;0;0;0;0.47;0;0;0;0;0;27.38;0;0;0;0;0;0;2021-02-05
2021-02-12;601.75;44.02;0;0;44.57;0;0;0;0;0;0;0;0;0;0;0;0;2021-02-12
2021-02-19;386.15;2.31;0;0;44.28;0;0;0;0;0;0;0;0;0;0;0;0;2021-02-19
2021-02-26;417.67;19.71;0;0;3.67;0;26.44;0;0;0;0;0;0;0;0;0;0;2021-02-26
2021-03-05;344.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2021-03-05
2021-03-12;390.29;0;0;0;1.66;0;0;0;0;0;0;0;0;0;0;0;0;2021-03-12
