Date;Latin America;East Coast Canada;North West Europe Zone;MED Zone (MED Sea+Black Sea);Unknown;Western Africa;West Coast Canada;Other North Africa;Oceania;Eastern Asia;Other Southern Europe;Southern Africa;Period End Date
2023-11-10;70.48;80.63;0;0;0;0;0;0;0;0;0;0;2023-11-10
2023-11-17;82.26;0;0;0;0;0;0;0;0;0;0;0;2023-11-17
2023-11-24;178.61;0;0;0;0.97;0;0;0;0;0;0;0;2023-11-24
2023-12-01;80.85;0;0;0;0;0;0;0;0;0;0;0;2023-12-01
2023-12-08;213.47;0;0;47.17;0;0;0;0;0;0;0;0;2023-12-08
2023-12-15;74.53;70.00;0;0;4.33;0;0;0;0;0;0;0;2023-12-15
2023-12-22;109.44;0;0;0;0;0;0;0;0;0;0;0;2023-12-22
2023-12-29;127.87;0;86.71;0;0;0;0;0;0;0;0;0;2023-12-29
2024-01-05;138.90;50.01;92.29;0;0;0;0;0;0;0;0;0;2024-01-05
2024-01-12;178.15;0;0;0;0;0;0;0;0;0;0;0;2024-01-12
2024-01-19;93.19;35.71;0;0;0;0;0;0;0;0;0;0;2024-01-19
2024-01-26;92.00;17.00;31.43;0;0;0;0;0;0;0;0;0;2024-01-26
2024-02-02;233.86;35.71;0;0;0;0;0;0;0;0;0;0;2024-02-02
2024-02-09;47.28;42.86;0;0;0;0;0;0;0;0;0;0;2024-02-09
