fuel2002,fuel2002TypeDescription,fuelType,fuelTypeDescription,period,plantCode,plantName,primeMover,state,stateDescription,total-consumption,total-consumption-units
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55690,Bethlehem Power Plant,CA,PA,Pennsylvania,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55690,Bethlehem Power Plant,CT,PA,Pennsylvania,112384,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55710,Allegheny Energy Units 3 4 & 5,ALL,PA,Pennsylvania,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55710,Allegheny Energy Units 3 4 & 5,CA,PA,Pennsylvania,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55710,Allegheny Energy Units 3 4 & 5,CT,PA,Pennsylvania,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55787,Shoreham Energy LLC,ALL,NY,New York,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55787,Shoreham Energy LLC,GT,NY,New York,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55939,Warren County,ALL,VA,Virginia,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55939,Warren County,CA,VA,Virginia,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55939,Warren County,CT,VA,Virginia,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55953,Pretlow,ALL,VA,Virginia,22,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55953,Pretlow,IC,VA,Virginia,22,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55954,Downtown,ALL,VA,Virginia,34,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55954,Downtown,IC,VA,Virginia,34,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55969,Hawkeye Energy Greenport LLC,ALL,NY,New York,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55969,Hawkeye Energy Greenport LLC,GT,NY,New York,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55976,Hunterstown Power Plant,ALL,PA,Pennsylvania,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55976,Hunterstown Power Plant,CT,PA,Pennsylvania,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55997,Orchard Park,ALL,PA,Pennsylvania,1675,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,55997,Orchard Park,IC,PA,Pennsylvania,1675,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,56004,Mount Clinton,ALL,VA,Virginia,210,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,56004,Mount Clinton,GT,VA,Virginia,135,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,56004,Mount Clinton,IC,VA,Virginia,75,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,56005,Pleasant Valley (VA),ALL,VA,Virginia,210,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,56005,Pleasant Valley (VA),GT,VA,Virginia,177,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,56005,Pleasant Valley (VA),IC,VA,Virginia,33,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,56038,UMCP CHP Plant,ALL,MD,Maryland,708,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,56038,UMCP CHP Plant,GT,MD,Maryland,708,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,56038,UMCP CHP Plant,ST,MD,Maryland,0,barrels
DFO,Distillate Fuel Oil,DFO,Distillate Fuel Oil,2018-01,56189,"Waterside Power, LLC",ALL,CT,Connecticut,1882,barrels
