fueltype,period,respondent,respondent-name,type-name,value,value-units
OIL,2026-06-30T12,MIDA,Mid-Atlantic,Petroleum,443,megawatthours
OIL,2026-06-30T12,NE,New England,Petroleum,7,megawatthours
OIL,2026-06-30T11,MIDA,Mid-Atlantic,Petroleum,408,megawatthours
OIL,2026-06-30T11,NE,New England,Petroleum,0,megawatthours
OIL,2026-06-30T10,MIDA,Mid-Atlantic,Petroleum,409,megawatthours
OIL,2026-06-30T10,NE,New England,Petroleum,0,megawatthours
OIL,2026-06-30T09,MIDA,Mid-Atlantic,Petroleum,409,megawatthours
OIL,2026-06-30T09,NE,New England,Petroleum,0,megawatthours
OIL,2026-06-30T08,MIDA,Mid-Atlantic,Petroleum,408,megawatthours
OIL,2026-06-30T08,NE,New England,Petroleum,0,megawatthours
OIL,2026-06-30T07,MIDA,Mid-Atlantic,Petroleum,427,megawatthours
OIL,2026-06-30T07,NE,New England,Petroleum,0,megawatthours
OIL,2026-06-30T06,MIDA,Mid-Atlantic,Petroleum,423,megawatthours
OIL,2026-06-30T06,NE,New England,Petroleum,0,megawatthours
OIL,2026-06-30T05,MIDA,Mid-Atlantic,Petroleum,910,megawatthours
OIL,2026-06-30T05,NE,New England,Petroleum,0,megawatthours
OIL,2026-06-30T04,MIDA,Mid-Atlantic,Petroleum,704,megawatthours
OIL,2026-06-30T04,NE,New England,Petroleum,0,megawatthours
OIL,2026-06-30T03,MIDA,Mid-Atlantic,Petroleum,2670,megawatthours
OIL,2026-06-30T03,NE,New England,Petroleum,6,megawatthours
OIL,2026-06-30T02,MIDA,Mid-Atlantic,Petroleum,3325,megawatthours
OIL,2026-06-30T02,NE,New England,Petroleum,6,megawatthours
OIL,2026-06-30T01,MIDA,Mid-Atlantic,Petroleum,2725,megawatthours
OIL,2026-06-30T01,NE,New England,Petroleum,6,megawatthours
OIL,2026-06-30T00,MIDA,Mid-Atlantic,Petroleum,1919,megawatthours
OIL,2026-06-30T00,NE,New England,Petroleum,63,megawatthours
OIL,2026-06-29T23,MIDA,Mid-Atlantic,Petroleum,1763,megawatthours
OIL,2026-06-29T23,NE,New England,Petroleum,63,megawatthours
OIL,2026-06-29T22,MIDA,Mid-Atlantic,Petroleum,1677,megawatthours
OIL,2026-06-29T22,NE,New England,Petroleum,34,megawatthours
OIL,2026-06-29T21,MIDA,Mid-Atlantic,Petroleum,1675,megawatthours
OIL,2026-06-29T21,NE,New England,Petroleum,5,megawatthours
OIL,2026-06-29T20,MIDA,Mid-Atlantic,Petroleum,1682,megawatthours
OIL,2026-06-29T20,NE,New England,Petroleum,16,megawatthours
OIL,2026-06-29T19,MIDA,Mid-Atlantic,Petroleum,1673,megawatthours
OIL,2026-06-29T19,NE,New England,Petroleum,21,megawatthours
OIL,2026-06-29T18,MIDA,Mid-Atlantic,Petroleum,1559,megawatthours
OIL,2026-06-29T18,NE,New England,Petroleum,47,megawatthours
OIL,2026-06-29T17,MIDA,Mid-Atlantic,Petroleum,1482,megawatthours
OIL,2026-06-29T17,NE,New England,Petroleum,37,megawatthours
