period,respondent,respondent-name,type,type-name,value,value-units
2026-09-20T01,MIDA,Mid-Atlantic,NG,Net generation,108366,megawatthours
2026-09-20T01,MIDA,Mid-Atlantic,TI,Total interchange,541,megawatthours
2026-09-20T01,NE,New England,D,Demand,12566,megawatthours
2026-09-20T01,NE,New England,DF,Day-ahead demand forecast,13020,megawatthours
2026-09-20T01,NE,New England,NG,Net generation,12587,megawatthours
2026-09-20T01,NE,New England,TI,Total interchange,21,megawatthours
2026-09-20T00,MIDA,Mid-Atlantic,D,Demand,103369,megawatthours
2026-09-20T00,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,101720,megawatthours
2026-09-20T00,MIDA,Mid-Atlantic,NG,Net generation,109363,megawatthours
2026-09-20T00,MIDA,Mid-Atlantic,TI,Total interchange,464,megawatthours
2026-09-20T00,NE,New England,D,Demand,12979,megawatthours
2026-09-20T00,NE,New England,DF,Day-ahead demand forecast,13800,megawatthours
2026-09-20T00,NE,New England,NG,Net generation,13206,megawatthours
2026-09-20T00,NE,New England,TI,Total interchange,227,megawatthours
2026-09-19T23,MIDA,Mid-Atlantic,D,Demand,103960,megawatthours
2026-09-19T23,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,103521,megawatthours
2026-09-19T23,MIDA,Mid-Atlantic,NG,Net generation,109266,megawatthours
2026-09-19T23,MIDA,Mid-Atlantic,TI,Total interchange,590,megawatthours
2026-09-19T23,NE,New England,D,Demand,12818,megawatthours
2026-09-19T23,NE,New England,DF,Day-ahead demand forecast,13360,megawatthours
2026-09-19T23,NE,New England,NG,Net generation,13004,megawatthours
2026-09-19T23,NE,New England,TI,Total interchange,186,megawatthours
2026-09-19T22,MIDA,Mid-Atlantic,D,Demand,104798,megawatthours
2026-09-19T22,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,105506,megawatthours
2026-09-19T22,MIDA,Mid-Atlantic,NG,Net generation,109662,megawatthours
2026-09-19T22,MIDA,Mid-Atlantic,TI,Total interchange,657,megawatthours
2026-09-19T22,NE,New England,D,Demand,12077,megawatthours
2026-09-19T22,NE,New England,DF,Day-ahead demand forecast,12510,megawatthours
2026-09-19T22,NE,New England,NG,Net generation,12502,megawatthours
2026-09-19T22,NE,New England,TI,Total interchange,425,megawatthours
2026-09-19T21,MIDA,Mid-Atlantic,D,Demand,104476,megawatthours
2026-09-19T21,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,106007,megawatthours
2026-09-19T21,MIDA,Mid-Atlantic,NG,Net generation,110145,megawatthours
2026-09-19T21,MIDA,Mid-Atlantic,TI,Total interchange,824,megawatthours
2026-09-19T21,NE,New England,D,Demand,10773,megawatthours
2026-09-19T21,NE,New England,DF,Day-ahead demand forecast,10930,megawatthours
2026-09-19T21,NE,New England,NG,Net generation,12104,megawatthours
2026-09-19T21,NE,New England,TI,Total interchange,1331,megawatthours
2026-09-19T20,MIDA,Mid-Atlantic,D,Demand,103439,megawatthours
2026-09-19T20,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,104778,megawatthours
2026-09-19T20,MIDA,Mid-Atlantic,NG,Net generation,109924,megawatthours
2026-09-19T20,MIDA,Mid-Atlantic,TI,Total interchange,568,megawatthours
2026-09-19T20,NE,New England,D,Demand,9676,megawatthours
2026-09-19T20,NE,New England,DF,Day-ahead demand forecast,9020,megawatthours
2026-09-19T20,NE,New England,NG,Net generation,11583,megawatthours
2026-09-19T20,NE,New England,TI,Total interchange,1907,megawatthours
2026-09-19T19,MIDA,Mid-Atlantic,D,Demand,101928,megawatthours
2026-09-19T19,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,102408,megawatthours
2026-09-19T19,MIDA,Mid-Atlantic,NG,Net generation,108135,megawatthours
2026-09-19T19,MIDA,Mid-Atlantic,TI,Total interchange,567,megawatthours
2026-09-19T19,NE,New England,D,Demand,8909,megawatthours
2026-09-19T19,NE,New England,DF,Day-ahead demand forecast,7940,megawatthours
2026-09-19T19,NE,New England,NG,Net generation,10731,megawatthours
2026-09-19T19,NE,New England,TI,Total interchange,1822,megawatthours
2026-09-19T18,MIDA,Mid-Atlantic,D,Demand,98943,megawatthours
2026-09-19T18,MIDA,Mid-Atlantic,DF,Day-ahead demand forecast,100318,megawatthours
2026-09-19T18,MIDA,Mid-Atlantic,NG,Net generation,104362,megawatthours
2026-09-19T18,MIDA,Mid-Atlantic,TI,Total interchange,742,megawatthours
2026-09-19T18,NE,New England,D,Demand,8520,megawatthours
2026-09-19T18,NE,New England,DF,Day-ahead demand forecast,7570,megawatthours
